2019-02-07 15:05:32,159 - INFO - fastread - 229, 1830
2019-02-07 15:05:32,159 - INFO - fastread - 229, 1840
2019-02-07 15:05:32,169 - INFO - fastread - 229, 1850
2019-02-07 15:05:32,169 - INFO - fastread - 229, 1860
2019-02-07 15:05:32,169 - INFO - fastread - 229, 1870
2019-02-07 15:05:32,177 - INFO - fastread - 229, 1880
2019-02-07 15:05:32,179 - INFO - fastread - 229, 1890
2019-02-07 15:05:32,179 - INFO - fastread - 229, 1900
2019-02-07 15:05:32,179 - INFO - fastread - 229, 1910
2019-02-07 15:05:32,187 - INFO - fastread - 229, 1920
2019-02-07 15:05:32,189 - INFO - fastread - 229, 1930
2019-02-07 15:05:32,189 - INFO - fastread - 229, 1940
2019-02-07 15:05:32,189 - INFO - fastread - 229, 1950
2019-02-07 15:05:32,199 - INFO - fastread - 229, 1960
2019-02-07 15:05:32,199 - INFO - fastread - 229, 1970
2019-02-07 15:05:32,199 - INFO - fastread - 229, 1980
2019-02-07 15:05:32,207 - INFO - fastread - 229, 1990
2019-02-07 15:05:32,209 - INFO - fastread - 229, 2000
